,verified,favourites_count,followers_count,friends_count,statuses_count,type
130671229,0,0.0,13.0,26.0,135.0,2.0
130671941,0,142.0,41.0,101.0,939.0,2.0
130758857,0,1.0,37.0,184.0,635.0,2.0
130760963,0,1.0,78.0,189.0,124.0,2.0
130798891,0,34.0,183.0,854.0,1188.0,2.0
130877373,0,12.0,85.0,352.0,1463.0,2.0
130899123,0,27.0,37.0,166.0,2066.0,2.0
130903187,0,24.0,9.0,10.0,198.0,2.0
130905590,0,19.0,873.0,777.0,47220.0,2.0
130934434,0,24.0,318.0,146.0,34521.0,2.0
130939471,0,52.0,2751.0,270.0,1806.0,2.0
130980567,0,491.0,184.0,138.0,2561.0,2.0
131001564,0,0.0,61.0,63.0,1357.0,2.0
131014505,0,3390.0,1267.0,457.0,54429.0,2.0
131033685,0,38.0,98.0,85.0,4449.0,2.0
131044133,0,0.0,51.0,140.0,117.0,2.0
131050718,0,7753.0,725.0,1472.0,2387.0,2.0
131054119,0,24.0,30.0,197.0,1316.0,2.0
131055789,0,588.0,449.0,371.0,20712.0,2.0
131058817,0,2.0,139.0,93.0,937.0,2.0
131149367,0,88.0,507.0,357.0,21443.0,2.0
131155940,0,26.0,60.0,158.0,334.0,2.0
131168910,0,3482.0,1004.0,1912.0,9238.0,2.0
131169548,0,64.0,417.0,269.0,2293.0,2.0
131183765,0,56.0,1981.0,98.0,910.0,2.0
131231095,0,2.0,40.0,25.0,3420.0,2.0
131247834,0,8.0,86.0,65.0,1272.0,2.0
131290110,0,0.0,21.0,16.0,126.0,2.0
131309168,0,1372.0,392.0,101.0,2690.0,2.0
131370064,0,51.0,218.0,543.0,4855.0,2.0
131394043,0,22.0,26.0,199.0,130.0,2.0
131456185,0,3984.0,248.0,97.0,9818.0,2.0
131471794,0,0.0,109.0,170.0,1360.0,2.0
131531188,0,1.0,35.0,217.0,287.0,2.0
131549643,0,121.0,60.0,267.0,1001.0,2.0
131589632,0,3.0,12.0,79.0,191.0,2.0
131602002,0,928.0,745.0,1512.0,4327.0,2.0
131616625,0,27.0,245.0,155.0,10206.0,2.0
131647854,0,10.0,138.0,269.0,671.0,2.0
131692043,0,3.0,314.0,370.0,10301.0,2.0
