,verified,favourites_count,followers_count,friends_count,statuses_count,type
100114488,0,1.0,716.0,607.0,1411.0,1.0
100118771,0,146.0,557.0,1271.0,4613.0,1.0
100159157,0,0.0,56.0,2.0,11117.0,1.0
101143560,0,9.0,41.0,78.0,613.0,1.0
101261527,0,0.0,174.0,72.0,250.0,1.0
101356073,0,0.0,22.0,1.0,129.0,1.0
102060793,0,92.0,8291.0,904.0,2505.0,1.0
102188892,0,0.0,297.0,3.0,123.0,1.0
102469741,0,68.0,842.0,740.0,2136.0,1.0
102640058,0,110.0,308.0,470.0,255.0,1.0
102640393,0,8.0,412.0,718.0,1922.0,1.0
10287992,0,260.0,1472.0,1261.0,2446.0,1.0
102976544,0,0.0,107.0,211.0,122.0,1.0
103064052,0,5.0,17.0,43.0,114.0,1.0
103255182,0,8.0,744.0,2002.0,691.0,1.0
103661268,0,1.0,16.0,21.0,137.0,1.0
103699952,0,0.0,99.0,77.0,237.0,1.0
103738684,0,0.0,55.0,15.0,226.0,1.0
103810970,0,9.0,794.0,618.0,3279.0,1.0
104171577,0,0.0,263.0,14.0,453.0,1.0
104288572,0,16.0,1058.0,335.0,928.0,1.0
104437981,0,14.0,160.0,577.0,107.0,1.0
104584672,0,0.0,191.0,137.0,425.0,1.0
104867708,0,16.0,184.0,469.0,1057.0,1.0
105002237,0,0.0,6.0,185.0,4737.0,1.0
105007579,0,93.0,192.0,353.0,866.0,1.0
105062071,0,3.0,114.0,7.0,847.0,1.0
105291643,0,113.0,3904.0,1427.0,6461.0,1.0
105949474,0,6.0,266.0,383.0,1173.0,1.0
106518590,0,0.0,1605.0,260.0,1284.0,1.0
106699452,0,3.0,88.0,41.0,160.0,1.0
106861193,0,0.0,2562.0,642.0,2587.0,1.0
106865312,0,14.0,196.0,113.0,1340.0,1.0
107523541,0,0.0,1671.0,0.0,2107.0,1.0
107525887,0,7.0,804.0,772.0,292.0,1.0
108030693,0,59.0,1303.0,1172.0,757.0,1.0
108395028,0,2.0,173.0,139.0,119.0,1.0
108619093,0,0.0,21.0,13.0,180.0,1.0
108857223,0,1.0,110.0,182.0,211.0,1.0
108971788,0,0.0,31.0,81.0,236.0,1.0
109138493,0,0.0,3348.0,3423.0,297.0,1.0
10942902,0,1.0,271.0,72.0,127.0,1.0
109486474,0,225.0,892.0,450.0,926.0,1.0
109593082,0,1.0,5581.0,950.0,696.0,1.0
109905851,0,0.0,229.0,155.0,206.0,1.0
109929964,0,12.0,2888.0,597.0,274.0,1.0
110218225,0,0.0,143.0,43.0,102.0,1.0
110381993,0,0.0,643.0,1411.0,387.0,1.0
110384793,0,0.0,2607.0,2930.0,1220.0,1.0
110509696,0,0.0,583.0,227.0,691.0,1.0
110783370,0,1.0,474.0,121.0,447.0,1.0
111132445,0,2750.0,4306.0,240.0,3631.0,1.0
112034021,0,0.0,9.0,1.0,24769.0,1.0
112060879,0,0.0,4907.0,1669.0,2608.0,1.0
112191338,0,1.0,3788.0,16.0,21413.0,1.0
112433753,0,39.0,765.0,1540.0,536.0,1.0
112723411,0,2069.0,5215.0,817.0,5326.0,1.0
112821239,0,11.0,966.0,318.0,293.0,1.0
112919554,0,146.0,951.0,297.0,2770.0,1.0
113324625,0,1.0,2781.0,3288.0,39591.0,1.0
113325198,0,0.0,21.0,40.0,113.0,1.0
113420004,0,6.0,192.0,189.0,197.0,1.0
113447517,0,3.0,31.0,40.0,107.0,1.0
113653861,0,7.0,219.0,78.0,360.0,1.0
113950781,0,0.0,2087.0,340.0,847.0,1.0
114016873,0,1.0,137.0,79.0,533.0,1.0
114340673,0,3.0,1800.0,273.0,2044.0,1.0
114428324,0,86.0,2379.0,1053.0,1125.0,1.0
114520241,0,0.0,2795.0,2828.0,2029.0,1.0
114565660,0,0.0,551.0,1688.0,202.0,1.0
114775407,0,0.0,1509.0,1389.0,1242.0,1.0
114810465,0,1.0,255.0,281.0,247.0,1.0
114907985,0,35.0,439.0,249.0,2365.0,1.0
114961795,0,2.0,102.0,107.0,361.0,1.0
115405329,0,1251.0,2136.0,2197.0,7072.0,1.0
116012581,0,4.0,4059.0,4138.0,28498.0,1.0
116031894,0,0.0,798.0,1947.0,302.0,1.0
116322786,0,6216.0,898.0,113.0,2338.0,1.0
116367949,0,2914.0,11401.0,5118.0,5449.0,1.0
116406845,0,0.0,186.0,294.0,691.0,1.0
116421456,0,35.0,1525.0,17.0,331.0,1.0
116465223,0,0.0,1781.0,687.0,778.0,1.0
11673252,0,4.0,10988.0,2072.0,129688.0,1.0
116889095,0,18.0,913.0,890.0,1315.0,1.0
117376676,0,461.0,5249.0,3161.0,8601.0,1.0
117469617,0,3491.0,11129.0,776.0,20197.0,1.0
117766894,0,7.0,75.0,41.0,122.0,1.0
117822809,0,0.0,186.0,625.0,708.0,1.0
118486967,0,0.0,2057.0,2842.0,4961.0,1.0
118556370,0,1.0,81.0,313.0,669.0,1.0
118738552,0,3.0,311.0,167.0,325.0,1.0
119175212,0,5.0,306.0,279.0,482.0,1.0
119400401,0,0.0,5928.0,398.0,12897.0,1.0
119965249,0,0.0,43.0,21.0,761.0,1.0
119992061,0,4.0,84.0,167.0,1134.0,1.0
120125806,0,0.0,27.0,24.0,176.0,1.0
120285512,0,553.0,18980.0,13054.0,5524.0,1.0
120390975,0,0.0,16.0,17.0,251.0,1.0
120850052,0,0.0,158.0,106.0,250.0,1.0
121451143,0,62.0,196.0,607.0,643.0,1.0
121665251,0,0.0,150.0,658.0,775.0,1.0
121753267,0,164.0,3795.0,1087.0,849.0,1.0
121812435,0,2.0,619.0,1993.0,785.0,1.0
121841065,0,66.0,1909.0,187.0,7516.0,1.0
122344315,0,8.0,1227.0,51.0,210.0,1.0
122484560,0,2.0,561.0,314.0,2019.0,1.0
122501853,0,3.0,247.0,794.0,743.0,1.0
122531560,0,0.0,105.0,132.0,217.0,1.0
122578105,0,0.0,757.0,1885.0,460.0,1.0
123100631,0,222.0,4753.0,5086.0,1731.0,1.0
123327540,0,0.0,30.0,6.0,344.0,1.0
123369125,0,0.0,14.0,5.0,126.0,1.0
123555111,0,1.0,83.0,315.0,562.0,1.0
123687592,0,254.0,3362.0,1620.0,2362.0,1.0
123747100,0,0.0,3946.0,11.0,1848.0,1.0
124043939,0,0.0,6.0,11.0,336.0,1.0
125018971,0,0.0,125.0,2.0,127.0,1.0
125101376,0,4.0,1541.0,1888.0,399.0,1.0
125212960,0,0.0,141.0,83.0,111.0,1.0
125270554,0,0.0,16.0,36.0,132.0,1.0
125417359,0,3.0,958.0,405.0,2710.0,1.0
125637346,0,0.0,3181.0,1760.0,5747.0,1.0
125754374,0,987.0,644.0,818.0,1156.0,1.0
125765605,0,0.0,89.0,116.0,953.0,1.0
125943983,0,0.0,532.0,1758.0,158.0,1.0
125945151,0,0.0,14.0,0.0,4770.0,1.0
125947490,0,0.0,1216.0,296.0,1133.0,1.0
126125056,0,55.0,374.0,245.0,350.0,1.0
126407534,0,41.0,581.0,1402.0,529.0,1.0
126914026,0,0.0,589.0,1985.0,1111.0,1.0
128021723,0,38.0,1449.0,84.0,2437.0,1.0
128024931,0,3.0,3723.0,3349.0,57342.0,1.0
128272680,0,8.0,983.0,194.0,1078.0,1.0
128331997,0,9.0,87.0,56.0,226.0,1.0
128538736,0,0.0,250.0,389.0,1552.0,1.0
128783704,0,0.0,12.0,0.0,979.0,1.0
128811344,0,0.0,12.0,0.0,969.0,1.0
128976971,0,32.0,1348.0,1808.0,378.0,1.0
129676498,0,0.0,1511.0,1720.0,2063.0,1.0
129693454,0,0.0,236.0,1149.0,160.0,1.0
130000070,0,22.0,264.0,42.0,1129.0,1.0
130631604,0,12.0,1018.0,176.0,2511.0,1.0
130723982,0,169.0,414.0,1466.0,1029.0,1.0
130763010,0,0.0,610.0,2.0,478.0,1.0
