id,verified,favorites_ct,followers_ct,friends_ct,tweets_ct,type
497846341,0,1307,242,244,4612,2
425154116,0,4,135,186,582,1
265755413,0,189,629,531,20199,2
402452663,0,2479,388,312,9675,2
74063830,0,227,33,69,1850,2
426227890,0,563,484,344,15393,2
234261510,0,16,364,1522,1191,2
543227804,0,134,646,332,2676,1
285591182,0,3,18,73,129,2
556855987,0,243,213,304,2753,2
143902699,0,0,23,45,339,2
498614763,0,10,139,170,463,2
239563131,0,144,591,1840,8949,2
217911171,0,942,484,313,7795,2
19830626,0,2862,476,469,8954,2
316557269,0,10589,886,944,20069,2
185521046,0,2507,375,288,3592,2
481051416,0,4009,237,297,6909,2
362253924,0,510,225,537,7354,2
357305418,0,4052,50,625,341,2
55276901,0,2495,5765,601,7679,1
62851500,0,8,225,304,1115,2
445756465,0,250,154,536,423,2
286695252,0,9,83,174,2806,1
261854595,0,1004,166,196,657,2
127424063,0,5112,199,57,14531,2
390480922,0,2841,803,496,9507,2
58999052,0,46,58,206,545,2
219136423,0,153,72,697,729,2
15048415,0,3614,639,637,6515,2
236730729,0,17,224,229,4807,2
101809545,0,332,347,673,5869,2
114941719,0,3,21,89,178,2
272035991,0,1,2,0,2644,2
165599774,0,0,2068,2,14037,1
45000426,0,395,188,480,2043,2
528794549,0,416,217,265,4310,2
323262486,0,51,55,451,330,2
233979279,0,599,768,869,8575,2
48615006,0,72,69,162,325,2
6298432,0,108,104,165,779,2
338296292,0,19,22,72,169,2
222670481,0,4,156,177,4538,2
347919905,0,494,88,119,1846,2
447808785,0,4020,185,281,34563,2
433360922,0,14,36,145,124,2
80855762,0,119,2971,1960,3597,1
202954155,0,64,168,375,1182,2
221829033,0,0,17,12,166,1
145374531,0,1,9,22,135,2
335080653,0,1702,268,694,5138,2
247902133,0,3,36,132,758,2
35242461,0,242,369,194,3731,2
180640554,0,40,159,219,2463,2
509836776,0,9,15,56,137,2
459765290,0,5,216,166,803,2
107630714,0,565,5398,4603,61830,2
34221680,0,11,4263,2043,223,1
431854812,0,384,544,279,6103,2
224574152,0,1034,398,473,16721,2
76839060,0,2929,469,289,11435,2
199908748,0,0,986,1773,1195,1
165460058,0,6,755,645,13427,2
414864178,0,50,0,0,1792,2
36615434,0,10,344,298,6890,2
19545749,0,7,36,143,149,2
24896414,0,464,116,512,1771,2
458802047,0,71,66,291,201,2
360704555,0,1511,382,251,8343,2
303490379,0,2356,1027,689,40146,2
551226245,0,0,27,123,203,2
275950025,0,2,149,386,148,2
34234036,0,4,242,116,185,2
273976005,0,0,22,23,139,2
388933760,0,483,338,304,8626,2
167625757,0,7,39,110,1026,2
61490896,0,75,203,605,314,2
466530821,0,7,286,1962,447,2
268891665,0,135,195,363,589,2
47557963,0,255,66,205,294,2
465868673,0,61,108,150,446,1
158769031,0,2310,281,125,13996,2
138784312,0,113,25,70,131,2
61101646,0,3678,1337,1397,4422,2
136389024,0,8,768,1813,3296,1
24153344,0,19,349,564,618,2
37964990,0,32,388,347,13628,2
532187138,0,11,108,33,812,2
429820477,0,1,110,355,752,2
344731577,0,5464,1638,1873,9081,2
104456136,0,2,151,518,1395,2
91940553,0,71,181,140,4483,2
425492824,0,10,58,120,151,2
484330707,0,785,205,239,6249,2
298026004,0,36,947,831,2490,2
144285888,0,16,71,122,419,2
312474543,0,119,168,639,221,1
314419484,0,0,22,72,2870,1
489799258,0,3,96,218,371,2
559657019,0,0,16,64,113,1
88837172,0,58,558,461,10873,2
214765235,0,5,188,103,129,2
271407631,0,2,79,968,189,2
183372530,0,0,590,1891,15,1
67568452,0,0,183,131,754,2
405199209,0,379,300,198,10895,2
87412610,0,3,144,935,955,2
15489749,0,91,245,213,882,2
55939510,0,15,211,511,1485,2
37613980,0,2,838,982,661,2
479236726,0,402,53,62,1264,2
453108726,0,4784,400,271,14524,2
477154208,0,30,566,512,5603,2
420310679,0,8928,101,165,5090,2
18255756,0,7,1034,208,521,2
153990375,0,20,401,554,19893,2
239086258,0,112,395,198,15268,2
363581068,0,933,204,133,3735,2
245092356,0,226,220,432,3075,2
206074066,0,7,437,218,15144,2
89722336,0,0,34,22,257,2
289108372,0,2660,742,701,5101,2
474180471,0,294,344,441,862,2
142360229,0,4,75,30,101,2
476861147,0,0,5,13,33677,2
210465016,0,6068,219,232,8089,2
222147436,0,2,9,22,416,2
65488802,0,46,105,208,991,2
132986442,0,1,132,228,1227,2
76202257,0,2515,393,434,4064,2
114565660,0,0,552,1688,202,1
183534359,0,2,59,127,1300,2
354098573,0,2544,326,486,2457,2
397303031,0,24,139,134,487,2
17382505,0,0,61,62,272,1
20568897,0,3,236,480,836,2
297225005,0,0,14,53,345,2
348654868,0,267,1369,1907,8769,2
195861900,0,2,390,183,4928,2
251086213,0,287,271,274,3199,2
470247932,0,33,159,140,2940,2
410914945,0,0,401,1577,572,1
229797465,0,102,583,463,4575,2
32752180,0,3,20,27,424,2
48434247,0,54,141,145,788,2
468607018,0,354,192,277,1109,2
365117355,0,264,64,198,714,2
232387596,0,187,374,386,13132,2
15682342,0,23,99,129,5863,2
49507863,0,8013,607,519,11102,2
253828297,0,4183,500,430,13021,2
337329851,0,3463,252,454,1931,2
248735412,0,40,124,624,601,2
34207014,0,1,867,209,1193,1
56627703,0,127,90,179,645,2
31137365,0,3,39,59,711,2
183407837,0,1383,184,203,3425,2
307649994,0,4,461,685,2201,2
134257859,0,57,74,200,2793,2
82080981,0,1,75,40,270,2
39810404,0,145,421,908,1190,2
344619680,0,3591,984,481,18720,2
27434477,0,89,767,534,46213,2
390905774,0,240,118,314,412,2
147445221,0,255,248,332,10141,2
304840335,0,25,105,350,266,2
89740288,0,0,14,5,109,1
347359247,0,378,444,638,1135,2
168159159,0,0,7568,8611,9940,1
489188740,0,1134,45,88,7807,2
140704871,0,1,3,47,584,2
293653078,0,1,29,94,243,2
250847938,0,172,82,206,1829,2
15937036,0,2,88,24,2079,2
97583333,0,5830,312,139,12068,2
