,verified,favourites_count,followers_count,friends_count,statuses_count,type
99978321,False,9.0,416.0,203.0,925.0,1.0
211292104,False,1.0,81.0,24.0,517.0,1.0
152061839,False,4.0,42.0,55.0,268.0,1.0
62935102,False,4.0,3824.0,781.0,1509.0,1.0
152068965,False,0.0,77.0,0.0,19152.0,1.0
152074766,False,0.0,39.0,0.0,19121.0,1.0
259650878,False,193.0,3084.0,476.0,7513.0,1.0
378493046,False,2.0,65.0,105.0,518.0,1.0
62934444,False,2.0,490.0,103.0,128.0,1.0
152203795,False,0.0,29.0,0.0,192.0,1.0
15233132,True,1969.0,29187.0,577.0,15971.0,1.0
15233659,False,713.0,24724.0,1315.0,6074.0,1.0
62861160,False,1096.0,43994.0,10359.0,3023.0,1.0
210982731,False,2.0,48.0,137.0,107.0,1.0
493786542,False,4.0,1774.0,2165.0,210.0,1.0
21104725,True,87.0,28932.0,2624.0,4937.0,1.0
63210900,False,5.0,753.0,520.0,1568.0,1.0
259417539,False,3.0,88.0,131.0,402.0,1.0
259352700,False,24.0,1448.0,1246.0,456.0,1.0
259186649,False,17.0,424.0,435.0,1197.0,1.0
211622055,False,9.0,343.0,599.0,157.0,1.0
308663071,False,0.0,222.0,794.0,388.0,1.0
308633506,False,12.0,110.0,96.0,120.0,1.0
63452117,False,40.0,557.0,734.0,1912.0,1.0
49284866,False,15.0,39.0,96.0,158.0,1.0
151514204,False,15.0,2168.0,1492.0,586.0,1.0
15154253,False,1.0,1005.0,86.0,494.0,1.0
308564449,False,1.0,66.0,27.0,415.0,1.0
431046814,False,0.0,884.0,213.0,692.0,1.0
151672822,False,7.0,306.0,101.0,183.0,1.0
15167931,False,101.0,1067.0,349.0,1013.0,1.0
63266699,False,50.0,833.0,619.0,2093.0,1.0
493339375,False,0.0,235.0,391.0,432.0,1.0
308434070,False,11.0,941.0,1464.0,351.0,1.0
210945325,False,43.0,22075.0,152.0,234.0,1.0
152428461,False,0.0,221.0,71.0,294.0,1.0
493875468,False,0.0,396.0,109.0,167.0,1.0
62795342,False,0.0,335.0,12.0,743.0,1.0
429347323,False,3.0,3.0,55.0,518.0,1.0
153789477,False,0.0,876.0,1735.0,481.0,1.0
209437254,False,6.0,220.0,847.0,323.0,1.0
429307367,False,1.0,519.0,1841.0,465.0,1.0
495136661,False,2.0,226.0,212.0,957.0,1.0
305962195,False,80.0,552.0,472.0,1134.0,1.0
61326119,False,0.0,139.0,65.0,191.0,1.0
305950026,False,1.0,28.0,63.0,139.0,1.0
209202558,False,1167.0,3736.0,1587.0,15856.0,1.0
209202558,False,1167.0,3728.0,1588.0,15852.0,1.0
209040318,False,0.0,48.0,182.0,257.0,1.0
42901308,False,0.0,169.0,0.0,16833.0,1.0
61181934,True,664.0,6081.0,724.0,16469.0,1.0
380431590,False,0.0,97.0,76.0,145.0,1.0
15431833,False,12.0,1356.0,1998.0,1280.0,1.0
495072784,False,0.0,75.0,799.0,443.0,1.0
151199348,False,1.0,104.0,357.0,246.0,1.0
494958887,False,59.0,1387.0,1176.0,15554.0,1.0
20996704,False,0.0,105.0,25.0,826.0,1.0
21082749,False,4.0,281.0,402.0,120.0,1.0
307810208,False,29.0,36.0,6.0,44569.0,1.0
259838826,False,0.0,170.0,521.0,1312.0,1.0
210567365,False,75.0,677.0,561.0,1191.0,1.0
259852081,False,60.0,75.0,111.0,788.0,1.0
6217192,False,0.0,776.0,336.0,334.0,1.0
62164526,False,1.0,546.0,647.0,156.0,1.0
259889537,False,15.0,138.0,272.0,384.0,1.0
379413248,False,0.0,173.0,266.0,182.0,1.0
210369748,False,2.0,3122.0,2913.0,10557.0,1.0
153287549,False,267.0,3982.0,2088.0,3336.0,1.0
21032777,False,22.0,180.0,426.0,1950.0,1.0
43013768,False,2.0,674.0,799.0,483.0,1.0
61800363,False,0.0,165.0,30.0,539.0,1.0
61678041,False,5.0,519.0,329.0,271.0,1.0
42964153,False,0.0,41.0,37.0,182.0,1.0
378004591,False,0.0,19.0,105.0,238.0,1.0
431357570,False,137.0,83.0,291.0,381.0,1.0
30884535,False,1.0,261.0,64.0,763.0,1.0
148515485,False,0.0,209.0,308.0,618.0,1.0
311574891,False,0.0,6.0,1.0,936.0,1.0
148573278,False,3.0,1193.0,25.0,2550.0,1.0
