,verified,favourites_count,followers_count,friends_count,statuses_count,type
100091439,0,54.0,674.0,701.0,8284.0,2.0
100095641,0,11.0,98.0,188.0,869.0,2.0
100121269,0,99.0,919.0,564.0,17379.0,2.0
100124895,0,968.0,138.0,190.0,2856.0,2.0
100154140,0,36.0,45.0,25.0,160.0,2.0
100230484,0,154.0,156.0,124.0,3478.0,2.0
100244093,0,43.0,91.0,273.0,214.0,2.0
100255295,0,205.0,12.0,34.0,146.0,2.0
100282911,0,234.0,234.0,225.0,15365.0,2.0
100284040,0,36.0,141.0,207.0,4764.0,2.0
100356414,0,0.0,23.0,146.0,906.0,2.0
100399487,0,1261.0,198.0,954.0,950.0,2.0
100431371,0,8.0,149.0,165.0,3008.0,2.0
100435664,0,0.0,113.0,93.0,611.0,2.0
100452431,0,539.0,246.0,1.0,2326.0,2.0
100562189,0,70.0,194.0,133.0,28018.0,2.0
100598567,0,264.0,1197.0,619.0,126758.0,2.0
100640120,0,2014.0,95.0,134.0,1561.0,2.0
100660856,0,1380.0,1558.0,2000.0,56044.0,2.0
100724996,0,93.0,114.0,389.0,836.0,2.0
100741272,0,2.0,11.0,9.0,650.0,2.0
100771139,0,486.0,136.0,152.0,3040.0,2.0
100776005,0,16.0,60.0,91.0,176.0,2.0
100808573,0,51.0,112.0,178.0,665.0,2.0
100816688,0,24.0,49.0,259.0,4036.0,2.0
100816718,0,6.0,58.0,149.0,104.0,2.0
100838383,0,9.0,16.0,51.0,667.0,2.0
100848137,0,189.0,344.0,324.0,1419.0,2.0
100898157,0,33.0,231.0,142.0,1494.0,2.0
100947731,0,0.0,140.0,109.0,756.0,2.0
100958064,0,94.0,154.0,191.0,781.0,2.0
101029244,0,409.0,240.0,214.0,5007.0,2.0
101057609,0,286.0,237.0,170.0,5133.0,2.0
101115137,0,4104.0,527.0,1593.0,7515.0,2.0
101133304,0,5432.0,373.0,198.0,7097.0,2.0
101174720,0,3386.0,641.0,282.0,36713.0,2.0
101203634,0,6.0,104.0,125.0,1157.0,2.0
101230216,0,1.0,26.0,112.0,261.0,2.0
101265446,0,939.0,65.0,442.0,6274.0,2.0
101266817,0,348.0,586.0,459.0,35159.0,2.0
101325121,0,830.0,888.0,1935.0,4732.0,2.0
101328789,0,392.0,31.0,189.0,459.0,2.0
101340129,0,372.0,278.0,340.0,2909.0,2.0
101347589,0,96.0,100.0,238.0,595.0,2.0
101355601,0,0.0,13.0,22.0,208.0,2.0
101356304,0,4.0,494.0,15.0,1848.0,2.0
101400478,0,3.0,366.0,348.0,3544.0,2.0
101405464,0,996.0,1851.0,113.0,1962.0,2.0
101409984,0,50.0,113.0,150.0,12711.0,2.0
101446800,0,0.0,80.0,162.0,108.0,2.0
101448893,0,25.0,946.0,825.0,19068.0,2.0
101463008,0,78.0,57.0,301.0,1448.0,2.0
101530940,0,1182.0,5232.0,649.0,3409.0,2.0
101581556,0,185.0,257.0,935.0,187.0,2.0
101585389,0,762.0,107.0,118.0,2579.0,2.0
101596541,0,11.0,251.0,343.0,3093.0,2.0
101660108,0,25.0,146.0,272.0,604.0,2.0
101726142,0,721.0,17.0,29.0,608.0,2.0
101733239,0,9.0,49.0,113.0,381.0,2.0
101743642,0,14.0,17.0,46.0,175.0,2.0
101763316,0,3.0,82.0,145.0,317.0,2.0
101773021,0,838.0,1401.0,1881.0,11040.0,2.0
101809545,0,335.0,345.0,674.0,5881.0,2.0
101814971,0,2.0,79.0,85.0,3592.0,2.0
101824630,0,414.0,267.0,536.0,1366.0,2.0
101834916,0,16.0,446.0,3.0,1380.0,2.0
10186102,0,2.0,61.0,100.0,3643.0,2.0
101872217,0,767.0,345.0,120.0,4467.0,2.0
101920653,0,2.0,55.0,79.0,1052.0,2.0
101921746,0,2.0,47.0,101.0,403.0,2.0
101923359,0,14.0,412.0,620.0,1172.0,2.0
10193482,0,168.0,507.0,284.0,4449.0,2.0
101939241,0,143.0,663.0,1200.0,2372.0,2.0
101955383,0,42.0,13.0,12.0,319.0,2.0
101980524,0,175.0,212.0,526.0,695.0,2.0
101985366,0,24.0,128.0,182.0,1958.0,2.0
102030333,0,1.0,137.0,492.0,176.0,2.0
